category,description
entertainment,"“Congratulations to all the athletes who competed, except for the Russian Olympic Committee,” Wood concluded. “Fake ID-having motherfuckers.”"
entertainment,"“Props to the International Olympic Committee for sending a strong message to the rest of the world: ‘Do all the drugs you want, just make sure you set up a shell country first,’” he cracked."
entertainment,"The singer’s mother, Lynne Spears, concurred, stating: “It is clear to me that James P. Spears is incapable of putting my daughter’s interests ahead of his own on both a professional and a personal level.” "
entertainment,"Kanye West appears to be preparing to release his much-anticipated album, “Donda,” from his temporary living quarters inside an Atlanta stadium — and he’s giving fans a close look at the process. "
entertainment,"West had already promised to release “Donda,” named after his late mother Donda West, on July 23. He hosted a listening event for the album at Mercedes-Benz Stadium on July 22 but ended up postponing the release. "
entertainment,"The Chicago rapper launched a livestream on Apple Music on Thursday ahead of the release of “Donda,” which is expected to drop on Friday. The ongoing muted livestream shows West and collaborators preparing for his album’s release from the bare room he’s been living in at Atlanta’s Mercedes-Benz Stadium. West is scheduled to host an album release event at the stadium later on Thursday night. "
entertainment,A representative for Westtold The Associated Press after the July 22 listening party that he had planned to remain inside the stadium while he finished working on the album.
entertainment,West posted a photo on Instagram showing his living quarters at the stadium last week.
entertainment,"“The Gotham Awards have a 30 year history of celebrating diverse voices in independent storytelling,” said Jeffrey Sharp, executive director of the Gotham Film & Media Institute, in a statement."
entertainment,The Berlin Film Festival in March handed out their first none-gendered awards. The Grammy Awards ceased separating male and female artists in 2012.
entertainment,"NEW YORK (AP) — The Gotham Awards, the annual New York ceremony for independent film, is the latest film honor to shift to acting categories that aren’t defined by gender."
entertainment,"Ryland James views his latest music video as the “celebratory conclusion” of a deeply personal, multiyear odyssey."
entertainment,The Gotham Film & Media Institute on Thursday said they will do away with best actor and best actress categories and replace them with “outstanding lead performance” and “outstanding supporting performance.”
entertainment,"While award shows like the Oscars, Emmys and Tonys have stuck with the traditional male- and female-designated categories, a growing number of other ceremonies have shifted to gender-neutral awards."
entertainment,"The song’s title, James said in an email, is taken from a series of emojis Ryan left on one of his Instagram posts just before the start of their relationship."
entertainment,"Released last month, “3 Purple Hearts” documents an 18-hour road trip that James took with his boyfriend, Ryan, earlier this year as they prepared to move in together. The colorful clip, viewable above, shows the two men enjoying each other’s company as they hike through forests and observe a waterfront sunset."
entertainment,"“I noticed it and somehow immediately knew he was someone special,” the 22-year-old pop musician explained, adding that the video itself is about “having fun being in love and finally being free to share it with the world.”"
entertainment,"“I’m queer,” James wrote. “That’s it. I won’t label myself beyond that as I’ve always been attracted to many different people of different genders throughout my life and feel like no label truly embodies my sexuality fully. I’m just me.”"
entertainment,"His artistic profile has grown considerably since then. In 2019, he dropped his breakout single, “Good to You,” and opened for Alessia Cara on her Pains of Growing Tour across both the U.S. and Canada. His self-titled debut EP was released last year, followed by “A Little Christmas,” a five-track collection of holiday songs. Music critics favorably compared his vocal stylings to Adele and Sam Smith."
entertainment,"In spite of those successes, James said he lived in constant fear over how his fans and loved ones would react if he lived openly as his true self. By February, however, he “couldn’t hold it in anymore” and came out publicly in a note posted to Twitter."
entertainment,"James rose to prominence in his native Canada in 2014 when he landed a spot on “The Next Star,” an “American Idol”-like musical competition series featuring contestants who are 15 years old or younger."
entertainment,"Nearly six months later, James has no regrets. The response to his coming out, he said, was “overwhelmingly positive” and encouraged him to mark “the beginning of a new era in my life” with “3 Purple Hearts.”"
entertainment,"“Everything worked out beautifully, and this video is a reflection of that,” he said. “[It’s] the most important video I’ve ever made, not only for myself as an artist but for myself as a person.”"
entertainment,Meghan McCain has officially said goodbye to “The View.”
entertainment,"McCain gave her final remarks to viewers as co-host of the daytime talk show during her last episode of the show on Friday. For nearly four years, she served as the conservative voice on the panel, often engaging in on-air spats with her co-hosts. She announced her departure last month."
entertainment,"“Thank you all so much again for the privilege and honor it has been for the past four years to work on this show,” McCain said. “It really has been incredible. It will be referenced in everything I do for the rest of my life. You women have been incredible to work with. The crew, the producers, everyone works so hard.”"
entertainment,"“Love has no borders or limitations,” he continued, after noting he had researched “conversion therapy” videos in an attempt to suppress his desires at first. “It’s eternal. It’s all encompassing. And it should always be given easily and unconditionally because every human being is connected as one at the end of the day.”"
entertainment,"McCain, who has often made headlines for her controversial remarks on the show, then thanked the audience for allowing her the space to share her opinions and perspective."
entertainment,"“You and I have had our disagreements, we’ve had our fights. We’ve also had some drinking moments, which were rather fun and interesting,” Behar later said in a send-off speech to McCain, adding that the conservative was a “formidable opponent.”"
entertainment,"McCain later quipped that she hoped “The View” executive producer, Brian Teta, can forgive her for “making his blood pressure rise for the past four years.”"
entertainment,"The veteran co-host was seen raising her eyebrows after McCain joked that she would be on the show for another month, and that the panel had four more weeks to “fight a little more.”"
entertainment,"“This has been a really wild ride the past four years of my life,” she continued. “It’s been honestly the best of times and the worst of times in all ways on and off the show. It’s been a really incredible, liberating experience, and I will always cherish the time I spent with all of you.”"
entertainment,"McCain’s final episode included appearances from her mother, Cindy McCain, Democratic Sen. Kyrsten Sinema and former House Speaker Paul Ryan."
entertainment,"Behar and McCain made headlines in May after Behar urged McCain to “have some respect” for the fact that Behar had joined “The View” nearly 25 years ago, after they engaged in a tense discussion about the way the media covers antisemitic hate crimes."
entertainment,"Last month, viewers got a kick out of Joy Behar’s reaction when McCain first announced her plans to leave the show on air."
entertainment,"Peter Phillips is talking about the loss of his grandfather, the late Prince Philip, and the “hardest part” of attending the Duke of Edinburgh’s funeral just a few months ago. "
entertainment,"Phillips, who is the son of Princess Anne and her first husband, Mark Phillips, said that after the Duke of Edinburgh’s death on April 9, “our thoughts immediately went to my grandmother,” Queen Elizabeth. "
entertainment,"“We’ve been trying to support her as much as we can,” the 43-year-old told the BBC in a recent interview."
entertainment,"“Everybody saw the image of Her Majesty sitting alone,” Phillips said of one of the most striking moments and photos that emerged from the 50-minute funeral. “It would have been the same for any other family, the hardest part is not being able to hug those closest to the person who’s been lost.” "
entertainment,"But despite all of the family’s support, they couldn’t comfort the queen at her late husband’s funeral, due to coronavirus restrictions. Only 30 people were allowed to attend the funeral, which took place on April 17."
entertainment,Phillips added that his grandfather is “sorely missed” as he was “such a fixture of all of our lives.” 
entertainment,"“It’s the same for a lot of families,” the royal explained. “There have been some great sadnesses but at the same time you’ve got to try to take the positives out of these situations, whether that be new life, or happy memories, that’s what you’ve got to focus on.”"
entertainment,"“He lived a remarkable life and if any of us can even live half the life that he did, we would all be extraordinarily happy,” he added. "
entertainment,"Phillips, who is normally not in the spotlight as much as other members of the royal family, played an important role at the funeral."
entertainment,"He walked between his cousins Prince William and Prince Harry, who publicly reunited for the first time in nearly a year at the funeral, during the procession behind their grandfather’s coffin to St. George’s Chapel at Windsor Castle. "
entertainment,"While it appeared Phillips’ walking between the brothers was due to their strained relationship, Buckingham Palace refused to attribute it to anything other than “practical changes.” "
entertainment,"“This is a funeral and we are not going to be drawn into perceptions of drama,” a Buckingham Palace spokesperson told People magazine at the time. “The arrangements have been agreed and represent Her Majesty’s wishes.”"
entertainment,Subscribe to HuffPost’s Watching the Royals newsletter for all things Windsor (and beyond).
entertainment,Jennifer Aniston is on a break with acquaintances who haven’t received the COVID-19 vaccine.
entertainment,"“I’ve just lost a few people in my weekly routine who have refused or did not disclose (whether or not they had been vaccinated), and it was unfortunate,” the “Friends” star revealed in an interview with InStyle published online Tuesday."
entertainment,"“I feel it’s your moral and professional obligation to inform, since we’re not all podded up and being tested every single day,” continued the actor, who is the magazine’s September cover star."
entertainment,"“It’s tricky because everyone is entitled to their own opinion — but a lot of opinions don’t feel based in anything except fear or propaganda,” she added."
entertainment,Read the full profile here.﻿
entertainment,"Aniston said it was “a real shame” there’s “still a large group of people who are anti-vaxxers or just don’t listen to the facts” about the shots, which have been shown overwhelmingly safe and effective in the billions of people who have received them."
entertainment,"Rihanna has officially work, work, work, work, worked her way to becoming a billionaire."
entertainment,"The wealthiest female musician in the world is now worth $1.7 billion, according to Forbes, and she comes in second only to Oprah Winfrey as the richest female entertainer."
entertainment,"Known for smash hits like “We Found Love,” “Umbrella” and many more, Rihanna ― born Robyn Fenty ― has built her empire with a combination of ventures. Her beauty company, Fenty Beauty, is now worth an estimated $2.8 billion (and she currently owns 50% of it) while her lingerie company, Savage X Fenty, is worth an estimated $270 million, according to Forbes."
entertainment,"Fenty Beauty, which is half-owned by French luxury goods conglomerate LVMH, launched in 2017, and by 2018 had topped fellow celebrity-founded brands like Kylie Jenner’s Kylie Cosmetics, Kim Kardashian West’s KKW Beauty and Jessica Alba’s Honest Company in revenue."
entertainment,"While Rihanna hasn’t released a new album since 2016’s “Anti,” she’s kept plenty busy since then. Outside of Fenty Beauty and Savage X Fenty, she also starred in buzzy films like 2018’s “Ocean’s Eight” and opposite Donald Glover in 2019’s “Guava Island.”"
entertainment,"And in 2020, she also launched a skin care brand called Fenty Skin, which Forbes reports is off to a “very promising start.”"
entertainment,"“It’s my 40th birthday, and I’ve got an idea,” Meghan says in the clip. "
entertainment,Meghan Markle is 40! 
entertainment,"Meghan enlisted the help of some very famous friends and mentors ― including Amanda Gorman, Gloria Steinem, Adele, Dr. Ibram X. Kendi and Stella McCartney ― who will each give 40 minutes of their time to help some of the women. "
entertainment,"Meghan kicked off the effort with an announcement on her and Prince Harry’s charity website, Archewell, and a very funny video featuring Melissa McCarthy."
entertainment,"The Duchess of Sussex celebrated her milestone birthday on Wednesday by launching a new initiative to help women re-entering the workforce, called 40x40."
entertainment,"“My first guess ― is it another photo shoot, under a tree, where you’re looking very peaceful?” the actor asked, likely referencing the photo the Duke and Duchess of Sussex used to announce they were expecting a second child."
entertainment,"In the clip, the duchess tries to tell McCarthy about her celebration plans, but the “Bridesmaids” actor has other ideas. "
entertainment,"“I know what it is,” McCarthy answers while wearing a very British outfit, fit for high tea."
entertainment,"“Peaceful under a tree is me every day,” the duchess quipped. "
entertainment,"McCarthy tried to think of other things Meghan was going to do to celebrate, including a yacht party and the two finally getting matching tattoos."
entertainment,"The duchess also shot down a “Suits” reunion as part of her celebration, saying, “I love ‘Suits,’ but why would I do a ‘Suits’ reunion for my birthday?” "
entertainment,"When McCarthy showed a rendering of the “Besties Forever” tattoo, Meghan said she already had “something really similar” across her back and that they should maybe save it for her 50th. "
entertainment,"“Because I am turning 40, I am asking 40 friends to donate 40 minutes of their time to help mentor a woman who is mobilizing back into the workforce,” she said. “Over 2 million women in the U.S. alone and tens of millions around the world have lost their jobs due to COVID. And I think if we all do it, and all commit 40 minutes to some sort of act of service, we can create a ripple effect. You in?” "
entertainment,"McCarthy agreed to be a part of the initiative before the two signed off. The clip added some bonus footage after the actors had said goodbye, which showed McCarthy saying that the video involved a “lot of hat work” on her part."
entertainment,"Joking aside, Meghan then told McCarthy about the new mentorship project she’s launching and its importance, considering how many women had to leave the workplace as an effect of the COVID-19 pandemic. "
entertainment,"A few seconds at the end showed the Duke of Sussex accidentally entering the frame when he was juggling outside, and McCarthy bursting into laughter with an “Oh, my God!” "
entertainment,"“Time with our loved ones, time doing the things we love, time spent learning, laughing, growing, and the sacred time we have on this earth,” the duchess added. “Amongst the most valuable gifts of time is also time spent in service to others knowing that it can contribute to incredible change.” "
entertainment,"The Duke and Duchess of Sussex are currently on parental leave after the birth of their second child, Lilibet “Lili” Diana Mountbatten-Windsor."
entertainment,"Despite their absence, the royals have continued to share projects they’re working on. Shortly after the June publication of Meghan’s first children’s book, “The Bench,” the former “Suits” actor announced that she is producing an animated children’s series called “Pearl” for Netflix."
entertainment,"Meghan shared more about the initiative in a letter on Archewell, writing that while “reflecting on my 40th birthday and the many things I am grateful for, I’m struck that time is among our greatest and most essential gifts.” "
entertainment,Subscribe to HuffPost’s Watching the Royals newsletter for all things Windsor (and beyond).
entertainment,"Harry is also keeping busy, as the duke revealed in July that he is working on an “intimate and heartfelt” memoir that will be published in 2022. The book, which will be released by Random House, promises to be an “accurate and wholly truthful” look at the duke’s life."
entertainment,"Pete Parada, drummer for The Offspring, says he’s out of the band because he won’t get vaccinated to protect against the coronavirus."
entertainment,"Parada said his doctor advised him not to get the vaccine, but added that while his own reason was medical, he was also against pressuring others into getting vaccinated. "
entertainment,"In July, the FDA warned of the possibility that Johnson & Johnson’s COVID-19 vaccine may increase the risk of Guillain-Barré syndrome, a neurological disorder, in some people. The agency also said it had not identified any such risk for either of the other two approved vaccines, the mRNA shots from Pfizer and Moderna, MedPage Today reported. To date, no cases of the disorder have been identified in clinical trials for either of those two shots, the CDC said."
entertainment,"Parada, who’s handled the sticks for the band for nearly 15 years, wrote on Instagram: "
entertainment,"“I do not find it ethical or wise to allow those with the most power (government, corporations, organizations, employers) to dictate medical procedures to those with the least power,” he wrote."
entertainment,"The band, known for hits such as “Pretty Fly (For A White Guy),” “Come Out and Play” and “Why Don’t You Get A Job,” hasn’t responded publicly. However, guitarist Kevin Wasserman ― a.k.a. “Noodles” ― hit the “like” button on a tweet saying the band did the right thing. "
entertainment,Parada said he has no negative feelings toward the band and did not indicate if his departure was temporary or permanent. He also said he’s launching a musical project of his own. 
entertainment,"The Offspring is set to perform this weekend in Los Angeles, followed by a tour starting Sept. 1 in Austin."
entertainment,"Prince Harry made a surprise appearance in a video celebrating Meghan Markle’s 40th birthday on Wednesday, and it left actor Melissa McCarthy (and the rest of the internet) in stitches. "
entertainment,"In a new video announcing the Duchess of Sussex’s mentorship program for women reentering the workforce, called 40x40, Meghan and McCarthy trade jokes about getting matching “bestie” tattoos, the possibility of a “Suits” reunion and yacht parties. "
entertainment,"But one of the most unexpected laughs comes at the end of the video, when the Duke of Sussex seemingly accidentally appears in a window outside of Meghan’s office while juggling limes. "
entertainment,See the moment below: 
entertainment,McCarthy later joked about the moment on Instagram. 
entertainment,"“Meghan is amazing. This 40x40 initiative is incredible, but quick question... Who stuck around for the end of the video?” she wrote, adding a gif of the prince and a laughing emoji. "
entertainment,"And for those interested in the “besties forever” tattoo she proposed (which Meghan hinted might be more appropriate for her 50th birthday), McCarthy instructed followers to “stay tuned.” "
entertainment,Meghan explained the mentorship program in a letter posted on the Duke and Duchess of Sussex’s Archewell foundation website. 
entertainment,"“I believe mentorship is one way to help women regain confidence and rebuild their economic strength,” the duchess wrote. “And for my birthday, I have asked 40 friends, activists, athletes, artists, and world leaders to help kickoff a global effort by contributing 40 minutes of mentorship to support women re-entering the workforce.” "
entertainment,"“With this time, I hope they each help someone advance a professional life on her own terms, and, I hope that they inspire countless others to give 40 minutes of their time as well,” she added, before listing actionable steps that supporters can take on themselves. "
entertainment,"The 35-year-old was recently photographed with several women in swimwear, one of whom was topless, while he was apparently on a work trip aboard a yacht in Capri, Italy. Photos of the outing began to cause a stir online, which prompted the Duchess of York to speak up on Brooksbank’s behalf during a recent media appearance on BBC One. "
entertainment,Sarah Ferguson is sticking up for her son-in-law Jack Brooksbank. 
entertainment,Subscribe to HuffPost’s Watching the Royals newsletter for all things Windsor (and beyond).
entertainment,"Brooksbank, who is married to Ferguson’s daughter Princess Eugenie, works as a brand ambassador for the tequila line Casamigos."
entertainment,"“[Jack] is a man of such integrity,” Ferguson, who is no stranger to scandal herself, said Monday on “The One Show.”"
entertainment,The duke appears to catch the “Bridesmaids” actor completely off guard while she’s talking about having afternoon tea with Meghan and Harry’s rescue chickens. 
entertainment,"“Oh my god!” McCarthy says while catching a glimpse of the prince, bursting into a fit of giggles."
entertainment,"“What?!” Meghan says, while looking at the window and back at the computer screen, while giggling as well."
entertainment,"At the end of the video, you can see the duke smiling and ducking out of the frame: "
entertainment,"“He’s just one of my most favorite people; I call him James Bond, actually. He’s just a superhero in my book,” the Duchess of York added. “And he’s a great father, fabulous husband and he’s never at front of house, he always likes to be at the back.” "
entertainment,"“And so for them to make this story, [which] is, in fact, of course, completely fabricated, he works as an ambassador for Casamigos, and, you know, he was doing his job,” she explained. “And so I think it’s really important that we just clarify that for Jack’s sake.” "
entertainment,HuffPost reached out to Casamigos for comment. 
entertainment,"Brooksbank and Princess Eugenie were married on Oct. 12, 2018, at St. George’s Chapel at Windsor Castle after seven years of dating. They tied the knot in front of 850 guests, though millions more around the globe watched the televised service."
entertainment,Eugenie recently posted a gushing tribute to her husband in June to mark his first Father’s Day. 
entertainment,"The couple recently welcomed their first child, a son named August Philip Hawke Brooksbank, earlier this year. They later posted the first photos of their little one on Eugenie’s Instagram account:"
entertainment,“Happy Father’s Day to you my love.. you are the ultimate father to our boy!!” she wrote alongside four photos of Brooksbank with baby August. 
entertainment,"Eugenie, Brooksbank and their son currently reside at Meghan Markle and Prince Harry’s U.K. residence, Frogmore Cottage, in Windsor. "
entertainment,"Ferguson, whose first historical romance novel, “Her Heart for a Compass,” comes out Tuesday, has made headlines throughout her book tour. "
entertainment,She’s continued to call her ex-husband Andrew “a good man” despite the prince’s friendship with convicted sex offender Jeffrey Epstein (though the duchess has ties of her own to Epstein).
entertainment,"Fergie has also spoken to the media about being pitted against Princess Diana in the tabloids, given her thoughts on the Duke and Duchess of Sussex, divulged that “The Crown” turned down her offer to consult for the series and claimed that she wasn’t “worthy” enough to attend Prince William and Kate Middleton’s 2011 nuptials. "
entertainment,Subscribe to HuffPost’s Watching the Royals newsletter for all things Windsor (and beyond).
entertainment,"The “Friends” star, who discussed the difficulties of nailing down red carpet poses during an interview published with InStyle on Tuesday, said that she believes Lopez handles the task perfectly. "
entertainment,"Jennifer Aniston recently praised Jennifer Lopez, saying she believes the singer has mastered red carpet poses. "
entertainment,"Aniston explained that stylists often give direction on what to do, and what not to do, at red carpet events and that sometimes balancing those instructions “feels weird.” "
entertainment,"“I don’t know how to stand on a red carpet, but you do the best you can,” she said, adding that she tries to make connections with the people holding the camera to make the task easier. "
entertainment,"But as for Lopez, Aniston thinks she does an “amazing” job."
entertainment,"“I want to know what gives her the look like she’s about to be seething,” she said. “It’s amazing. She’s almost stuck getting mad at somebody, but she’s just so gorgeous. She’s like, ‘I can’t believe I’m standing here.’ But I don’t think she’s trying; she fell out of bed that way. She’s a performer.”"
entertainment,Aniston is InStyle’s September cover star. Read the entire profile here. 
entertainment,Lopez set social media ablaze last month when she confirmed her relationship with Ben Affleck by posting a steamy picture of them kissing. The two were previously engaged in the early 2000s. They were spotted together in numerous paparazzi photos published online before confirming their romantic reunion in July. 
entertainment,"“Even though the world was crazy, I was home and in this love nest and it was different,” she shared of her time at home postpartum with Callum and Kazee amid the coronavirus pandemic."
entertainment,Rapper DaBaby has issued an apology to the LGBTQ community after his homophobic remarks at a July 25 concert in Miami resulted in him being dropped from several music festivals.
entertainment,"“I want to apologize to the LGBTQ+ community for the hurtful and triggering comments I made,” DaBaby posted on Instagram Monday. “Again, I apologize for my misinformed comments about HIV/AIDS and I know education on this is important.”"
entertainment,"DaBaby later addressed the controversy on Twitter, writing: “Anybody who done ever been effected by AIDS/HIV y’all got the right to be upset, what I said was insensitive even though I have no intentions on offending anybody. So my apologies.”"
entertainment,"The Grammy-nominated rapper, born Jonathan Lyndale Kirk, has come under fire after making a series of derogatory statements about women, gay men and people living with HIV during a performance at Miami’s Rolling Loud Festival. Among other things, he told the crowd: “If you didn’t show up today with HIV, AIDS, or any of them deadly sexually transmitted diseases, that’ll make you die in two to three weeks, then put your cellphone lighter up ... Fellas, if you ain’t sucking dick in the parking lot, put your cellphone lighter up.”"
entertainment,"He stopped short of apologizing to the LGBTQ community, however, telling them: “I ain’t trippin on y’all, do you. y’all business is y’all business.”"
entertainment,"DaBaby appeared unfazed by the ongoing backlash in the following days, advertising upcoming concerts and music videos on social media and sharing Instagram stories that showed him dancing in a car and riding in what appeared to be a private jet."
entertainment,"But he was dropped from headlining Chicago’s Lollapalooza Music Festival on Sunday night ― mere hours before he was set to take the stage. The Governors Ball in New York City and Day N Vegas in Nevada have also axed him from their lineups, and the Parklife Festival in the U.K. has cut his name from its upcoming event."
entertainment,"In an online statement posted shortly before DaBaby issued his apology on Monday, organizers of the Governors Ball said they do not “tolerate hate or discrimination of any kind.” The statement did not specifically mention DaBaby, but his name was absent from a fresh list of artists scheduled to perform at next month’s event."
entertainment,An organizer for the event told HuffPost that the group’s statement “says all there is to say at the moment.”
entertainment,"Organizers of Day N Vegas, meanwhile, posted an updated festival lineup on Monday and noted that “DaBaby will no longer be appearing at Day N Vegas 2021,” though the post did not specifically cite the rapper’s remarks. The organizers did not immediately respond to HuffPost’s request for comment."
entertainment,Champion gymnast Simone Biles and pop star Taylor Swift on Tuesday shared a sweet moment on Twitter.
entertainment,The exchange began with Biles’ praise of Swift’s narration of an NBC Olympics promo about her time at the Tokyo Games.
entertainment,"“I’m crying,” the athlete wrote. “How special. I love you.”"
entertainment,"Swift responded in kind, hailing Biles’ conduct in Tokyo."
entertainment,"“I cried watching YOU,” wrote Swift."
entertainment,"The gymnast withdrew from the team and individual finals over mental health concerns, but returned Tuesday to win the bronze medal on the balance beam."
entertainment,"“I feel so lucky to have gotten to watch you all these years, but this week was a lesson in emotional intelligence and resilience,” Swift added. “We all learned from you. Thank you.”"
entertainment,People on Twitter got all the feels:
entertainment,Lizzo has new music on the horizon. 
entertainment,The Grammy-winning singer-rapper announced on Instagram Monday that she will be dropping a new song titled “Rumors” on Aug. 13. This will be Lizzo’s first single in two years. 
entertainment,"“New Era Bitch,” she wrote in the caption."
entertainment,"In 2019, Lizzo released her latest album, “Cuz I Love You,” which earned her three Grammys in January 2020. She was also named the Entertainer of the Year at the 2020 NAACP Image Awards and Time’s 2019 Entertainer of the Year. "
entertainment,"Her song “Truth Hurts,” which was originally released in 2017 but appeared on the deluxe edition of “Cuz I Love You,” scored Lizzo the top spot on the Billboard 100 chart in 2019. "
entertainment,"Lizzo teased her new song in a cryptic message posted on Instagram before the announcement. “Don’t even like this post cus you REALLY gon like my post tomorrow,” she wrote."
entertainment,"“That’s so fucked up,” Johnson said, laughing."
entertainment,"“That is fucked up,” Blunt agreed, but then asked: “What is wrong with them?” "
entertainment,"“Jungle Cruise” stars Dwayne Johnson and Emily Blunt sat down for Wired’s autocomplete interview, answering questions based on the Google search feature. And one query asked: What’s wrong with The Rock’s abs?"
entertainment,"Johnson said there’s nothing wrong with his abs, but that he doesn’t have a traditional “six-pack” like many Instagram fitness models."
entertainment,"“I got like a five and a half pack, sometimes a four and a half pack,” he said. "
entertainment,There’s also another issue with that area of his body. Johnson had to undergo a triple hernia emergency surgery after he was injured in a 2013 WWE wrestling event. He explained what happened ― and how it was repaired ― in gruesome detail below:
entertainment,"Ashley Judd is walking again, nearly six months after shattering her leg deep in a Congolese rainforest."
entertainment,Judd posted a video of herself on Instagram on Sunday walking by herself up a hill in a national park in the Swiss alps.
entertainment,"“My leg and foot, worked beautifully. I walked up hill on uneven surfaces for an hour confidently and came down carefully and easily,” Judd said in the post."
entertainment,"Judd tripped over a log and broke her tibia in multiple places while joining researchers in a night-time search for bonobos. She said she spent hours on the forest floor, biting a stick after screaming in pain. "
entertainment,"Several men carried her back to camp in a hammock tied to a pole, and then she was evacuated by motorbike over dirt roads, with a driver steering and another man “holding the top part of my shattered tibia together.”"
entertainment,"“My leg will never be the same. She is a new leg. And I love her. We are buddies. We have a come a long way and we have a fabulous life ahead,” Judd wrote."
entertainment,"Though Meghan McCain appeared on “The View” Monday, she was notably absent from a segment with Mary Trump, who accused the conservative co-host of lacking the courage to face her."
entertainment,"The actress thanked her African colleagues, doctors, therapists, family and fans for their support in her recovery."
entertainment,"“It’s a shame that your colleague didn’t have the courage to come on and have this conversation with me,” Trump told the other co-hosts during a discussion about her uncle, former President Donald Trump, and his successful use of racism as a political platform. “But I appreciate that you were all willing to take up these very difficult subjects because racism, in my view, is at the heart of everything that’s wrong in 21st-century America.”"
entertainment,"Last year, when the then-president’s niece went on “The View” to discuss her book, “Too Much And Never Enough: How My Family Created The World’s Most Dangerous Man,” McCain accused her of trying cash in on her extended family. Trump pushed back. Ultimately, McCain disappeared for the remaining two segments of Trump’s appearance at the time."
entertainment,"McCain hit back at Trump on Twitter Monday, saying she believed there were no “good” members of the Trump family."
entertainment,"“Continue to wish they would all just leave me and my entire family the fuck alone,” she tweeted."
entertainment,"McCain, who recently announced her departure from “The View,” has long been at odds with the Trumps. The former president routinely attacked her father, the late Sen. John McCain (R-Ariz.), even after his death from cancer in 2018."
entertainment,Watch “The View” segment below.
entertainment,Jason Momoa had some choice words for a reporter who asked how the star felt about acting in scenes containing sexual violence in “Game of Thrones.”
entertainment,"The “Aquaman” star was recently interviewed by The New York Times about his career as an action star, and naturally some of his previous roles came up. One of his earliest and most prominent turns was as Khal Drogo, the captor-turned-lover to Emilia Clarke’s Daenerys Targaryen in the HBO fantasy series."
entertainment,"Times interviewer David Marchese asked Momoa if he now thinks “differently” about having acted in scenes depicting sexual assault, which “seem as if they belong to an older cultural moment.”"
entertainment,Drogo rapes Targaryen on their wedding night in the show’s pilot in a scene so violent that author George R.R. Martin ― who wrote the books the series was based on ― even spoke out against it. Martin noted that showrunners David Benioff and D.B. Weiss included that scene without running it by him. 
entertainment,The 42-year-old actor said that “it was important to depict Drogo and his style.”
entertainment,"“You’re playing someone that’s like Genghis Khan. It was a really, really, really hard thing to do. But my job was to play something like that, and it’s not a nice thing, and it’s what that character was. It’s not my job to go, ‘Would I not do it?’ I’ve never really been questioned about ‘Do you regret playing a role?’ We’ll put it this way: I already did it. Not doing it again,” he responded."
entertainment,"While the conversation moved forward, Momoa pivoted back to the subject later in the interview, saying it “left a bad feeling in my stomach.”"
entertainment,He told the Times:
entertainment,"Rapper, actor and now ― dressage commentator?"
entertainment,Snoop Dogg’s analysis of the equestrian event at the Tokyo Olympics had people on Twitter in stitches.
entertainment,"“This horse is off the chain,” the rap star declared to actor Kevin Hart during their highlights show for NBC’s streaming service Peacock last week."
entertainment,The pair were tasked with delivering cold commentary on footage of the competition.
entertainment,"“I got to get this motherfucker in a video,” Snoop added. “Motherfucker was off the chain.”"
entertainment,Watch the clip here:
entertainment,"Of course, Snoop has some experience in commentary ― he’s previously analyzed wildlife scenes to similarly comic effect."
entertainment,Mr. Lordi received a COVID-19 vaccine in full costume — and it rocked.
entertainment,"The lead singer of the Finnish hard rock band Lordi got his second dose on Sunday at a pop-up vaccination center in Rovaniemi, Finland."
entertainment,The group is famous for wearing monster masks on stage:
entertainment,Fans now want him to do more:
entertainment,"“They put a big needle in my arm, and that’s exactly why I came here,” the 47-year-old, whose real name is Tomi Petteri Putaansuu, told news site Yle."
entertainment,Lordi is also known for its surprise victory at the 2006 Eurovision Song Contest with the anthem “Hard Rock Hallelujah.”
entertainment,“Love Is Blind” star Giannina Gibelli says she and former beau Damian Powers are officially over.
entertainment,Gibelli appeared on E!’s “Nightly Pop” on Monday and shared an update on her and Powers after the events viewers saw during the “Love Is Blind: After the Altar” reunion special.
entertainment,"The special, which began streaming on Netflix in late July, checked in on the couples who got together back in 2018 during the first season of “Love Is Blind.” Fans of the show will remember that Gibelli was slated to marry Powers, got to the altar, said “I do,” and was met with an “I don’t.”"
entertainment,"Gibelli subsequently left the altar, leading many to believe that she and Powers were over."
entertainment,"Asked about that exchange, Gibelli admits she was “completely caught off guard” by Farago’s appearance at the party and added: “Yeah, I didn’t appreciate that at all.”"
entertainment,"The couple reportedly made amends after their failed wedding and had been dating for more than two years when the reunion special began filming last fall. During the reunion special, Gibelli says that the pair are still an item — but Powers invites another woman to the reunion party for all of the “Love Is Blind” stars."
entertainment,"On both “Nightly Pop” and again later in an interview with ET Online, Gibelli confirmed that she’s “officially single” and shared that she and Powers “haven’t been dating for a couple of months now.”"
entertainment,"The woman, Francesca Farago — another Netflix alum and star of “Too Hot To Handle” — ultimately gets in a spat with Gibelli. Gibelli tells Farago that Powers is her man and that she shouldn’t mess with her."
entertainment,"“I’ve moved on. I feel really, really good. I’m definitely at a really good place in my life,” she shared with ET Online, going on to say that it’s the “first time in like three years I feel like I don’t have to keep some sort of my life private anymore.” "
entertainment,Gibelli said she and Powers had to be “under wraps about everything.”
